BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, START_POSITION, FINISH_TIME, RESULT
601,----,----,----,1,--:--:--.---,--:--:--.---
602,----,----,----,2,--:--:--.---,--:--:--.---
603,----,----,----,3,--:--:--.---,--:--:--.---
604,----,----,----,4,--:--:--.---,--:--:--.---
605,----,----,----,5,--:--:--.---,--:--:--.---
606,----,----,----,6,--:--:--.---,--:--:--.---
607,----,----,----,7,--:--:--.---,--:--:--.---
608,----,----,----,8,--:--:--.---,--:--:--.---
609,----,----,----,9,--:--:--.---,--:--:--.---
610,----,----,----,10,--:--:--.---,--:--:--.---
611,----,----,----,11,--:--:--.---,--:--:--.---
612,----,----,----,12,--:--:--.---,--:--:--.---
613,----,----,----,13,--:--:--.---,--:--:--.---
614,----,----,----,14,--:--:--.---,--:--:--.---
615,----,----,----,15,--:--:--.---,--:--:--.---
616,----,----,----,16,--:--:--.---,--:--:--.---
617,----,----,----,17,--:--:--.---,--:--:--.---
618,----,----,----,18,--:--:--.---,--:--:--.---
619,----,----,----,19,--:--:--.---,--:--:--.---
620,----,----,----,20,--:--:--.---,--:--:--.---
621,----,----,----,21,--:--:--.---,--:--:--.---
622,----,----,----,22,--:--:--.---,--:--:--.---
623,----,----,----,23,--:--:--.---,--:--:--.---
624,----,----,----,24,--:--:--.---,--:--:--.---
625,----,----,----,25,--:--:--.---,--:--:--.---
626,----,----,----,26,--:--:--.---,--:--:--.---
627,----,----,----,27,--:--:--.---,--:--:--.---
628,----,----,----,28,--:--:--.---,--:--:--.---
629,----,----,----,29,--:--:--.---,--:--:--.---
630,----,----,----,30,--:--:--.---,--:--:--.---
631,----,----,----,31,--:--:--.---,--:--:--.---
632,----,----,----,32,--:--:--.---,--:--:--.---
633,----,----,----,33,--:--:--.---,--:--:--.---
634,----,----,----,34,--:--:--.---,--:--:--.---
635,----,----,----,35,--:--:--.---,--:--:--.---
636,----,----,----,36,--:--:--.---,--:--:--.---
637,----,----,----,37,--:--:--.---,--:--:--.---
638,----,----,----,38,--:--:--.---,--:--:--.---
639,----,----,----,39,--:--:--.---,--:--:--.---
640,----,----,----,40,--:--:--.---,--:--:--.---
641,----,----,----,41,--:--:--.---,--:--:--.---
642,----,----,----,42,--:--:--.---,--:--:--.---
643,----,----,----,43,--:--:--.---,--:--:--.---
644,----,----,----,44,--:--:--.---,--:--:--.---
645,----,----,----,45,--:--:--.---,--:--:--.---
646,----,----,----,46,--:--:--.---,--:--:--.---
647,----,----,----,47,--:--:--.---,--:--:--.---
648,----,----,----,48,--:--:--.---,--:--:--.---
649,----,----,----,49,--:--:--.---,--:--:--.---
650,----,----,----,50,--:--:--.---,--:--:--.---
651,----,----,----,51,--:--:--.---,--:--:--.---
652,----,----,----,52,--:--:--.---,--:--:--.---
653,----,----,----,53,--:--:--.---,--:--:--.---
654,----,----,----,54,--:--:--.---,--:--:--.---
655,----,----,----,55,--:--:--.---,--:--:--.---
656,----,----,----,56,--:--:--.---,--:--:--.---
657,----,----,----,57,--:--:--.---,--:--:--.---
658,----,----,----,58,--:--:--.---,--:--:--.---
659,----,----,----,59,--:--:--.---,--:--:--.---
660,----,----,----,60,--:--:--.---,--:--:--.---
1,----,----,----,61,--:--:--.---,--:--:--.---
2,----,----,----,62,--:--:--.---,--:--:--.---
3,----,----,----,63,--:--:--.---,--:--:--.---
4,----,----,----,64,--:--:--.---,--:--:--.---
5,----,----,----,65,--:--:--.---,--:--:--.---
6,----,----,----,66,--:--:--.---,--:--:--.---
7,----,----,----,67,--:--:--.---,--:--:--.---
8,----,----,----,68,--:--:--.---,--:--:--.---
9,----,----,----,69,--:--:--.---,--:--:--.---
10,----,----,----,70,--:--:--.---,--:--:--.---
11,----,----,----,71,--:--:--.---,--:--:--.---
12,----,----,----,72,--:--:--.---,--:--:--.---
13,----,----,----,73,--:--:--.---,--:--:--.---
14,----,----,----,74,--:--:--.---,--:--:--.---
15,----,----,----,75,--:--:--.---,--:--:--.---
16,----,----,----,76,--:--:--.---,--:--:--.---
17,----,----,----,77,--:--:--.---,--:--:--.---
18,----,----,----,78,--:--:--.---,--:--:--.---
19,----,----,----,79,--:--:--.---,--:--:--.---
20,----,----,----,80,--:--:--.---,--:--:--.---
21,----,----,----,81,--:--:--.---,--:--:--.---
22,----,----,----,82,--:--:--.---,--:--:--.---
23,----,----,----,83,--:--:--.---,--:--:--.---
24,----,----,----,84,--:--:--.---,--:--:--.---
25,----,----,----,85,--:--:--.---,--:--:--.---
26,----,----,----,86,--:--:--.---,--:--:--.---
27,----,----,----,87,--:--:--.---,--:--:--.---
28,----,----,----,88,--:--:--.---,--:--:--.---
29,----,----,----,89,--:--:--.---,--:--:--.---
30,----,----,----,90,--:--:--.---,--:--:--.---
31,----,----,----,91,--:--:--.---,--:--:--.---
32,----,----,----,92,--:--:--.---,--:--:--.---
33,----,----,----,93,--:--:--.---,--:--:--.---
34,----,----,----,94,--:--:--.---,--:--:--.---
35,----,----,----,95,--:--:--.---,--:--:--.---
36,----,----,----,96,--:--:--.---,--:--:--.---
37,----,----,----,97,--:--:--.---,--:--:--.---
38,----,----,----,98,--:--:--.---,--:--:--.---
39,----,----,----,99,--:--:--.---,--:--:--.---
40,----,----,----,100,--:--:--.---,--:--:--.---
41,----,----,----,101,--:--:--.---,--:--:--.---
42,----,----,----,102,--:--:--.---,--:--:--.---
43,----,----,----,103,--:--:--.---,--:--:--.---
44,----,----,----,104,--:--:--.---,--:--:--.---
45,----,----,----,105,--:--:--.---,--:--:--.---
46,----,----,----,106,--:--:--.---,--:--:--.---
47,----,----,----,107,--:--:--.---,--:--:--.---
48,----,----,----,108,--:--:--.---,--:--:--.---
49,----,----,----,109,--:--:--.---,--:--:--.---
50,----,----,----,110,--:--:--.---,--:--:--.---
51,----,----,----,111,--:--:--.---,--:--:--.---
52,----,----,----,112,--:--:--.---,--:--:--.---
53,----,----,----,113,--:--:--.---,--:--:--.---
54,----,----,----,114,--:--:--.---,--:--:--.---
55,----,----,----,115,--:--:--.---,--:--:--.---
56,----,----,----,116,--:--:--.---,--:--:--.---
57,----,----,----,117,--:--:--.---,--:--:--.---
58,----,----,----,118,--:--:--.---,--:--:--.---
59,----,----,----,119,--:--:--.---,--:--:--.---
60,----,----,----,120,--:--:--.---,--:--:--.---
----,----,----,----,121,--:--:--.---,--:--:--.---
----,----,----,----,122,--:--:--.---,--:--:--.---
----,----,----,----,123,--:--:--.---,--:--:--.---
----,----,----,----,124,--:--:--.---,--:--:--.---
----,----,----,----,125,--:--:--.---,--:--:--.---
----,----,----,----,126,--:--:--.---,--:--:--.---
----,----,----,----,127,--:--:--.---,--:--:--.---
----,----,----,----,128,--:--:--.---,--:--:--.---
----,----,----,----,129,--:--:--.---,--:--:--.---
----,----,----,----,130,--:--:--.---,--:--:--.---
