BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, START_POSITION, FINISH_TIME, RESULT
601,Downing,David,Merckx - Men,1,18:24:22.492,00:23:21.646
602,Fischbach,Yannick,Men (P/1/2/3),2,18:23:49.941,00:21:49.095
603,Brown,Peter,Master 50+ - Men,3,18:28:45.902,00:25:45.056
604,Waite,Ruthanne,Master 50+ - Women,4,18:42:06.339,00:38:05.493
605,Bergona,Simon,Men (P/1/2/3),5,18:28:36.534,00:23:35.688
606,Schneider,Sebastian,Men (4/5/U),6,18:31:36.776,00:25:35.930
607,Wienke,Jeff,Merckx - Men,7,18:35:30.219,00:28:29.373
608,Wienke,Susan,Merckx - Women,8,18:43:41.405,00:35:40.559
609,Wienke,Brooks,Men (P/1/2/3),9,18:29:48.461,00:20:47.615
610,Sumbal,Marni,Women (P/1/2/3),10,18:34:46.014,00:24:45.168
611,Velez,Alvaro,Men (P/1/2/3),11,18:33:29.556,00:22:28.710
612,Appleman,Casey,Merckx - Men,12,18:41:13.084,00:29:12.238
613,Harrison,John,Merckx - Men,13,18:39:57.782,00:26:56.936
614,Sumbal,Karel,Men (P/1/2/3),14,18:37:28.555,00:23:27.709
615,Leonhardt,Tami,Women (4/U),15,18:40:34.195,00:25:33.349
616,Herring,Tony,Master 60+ - Men,16,--:--:--.---,--:--:--.---
617,Barnett,Gray,Merckx - Men,17,18:40:29.739,00:23:28.893
618,Hoenicke,David,Men (4/5/U),18,--:--:--.---,--:--:--.---
619,Barnett,Luke,Merckx - Men,19,18:43:55.147,00:24:54.301
620,Shumate,Schott,Men (P/1/2/3),20,18:42:38.268,00:22:37.422
621,Tabor,Neil,Men (4/5/U),21,18:45:28.540,00:24:27.694
622,LaCelle,Josh,Merckx - Men,22,18:46:17.564,00:24:16.718
623,Thompson,Kevin,Master 50+ - Men,23,18:47:13.891,00:24:13.045
624,Belknap,Fleet,Merckx - Men,24,18:49:38.691,00:25:37.845
625,Phillips,Reggie,Merckx - Men,25,18:52:37.180,00:27:36.334
626,Malone,Katie,Women (4/U),26,18:54:08.116,00:28:07.270
627,Hartzler,Chris,Merckx - Men,27,18:54:13.284,00:27:12.438
628,Bracken,Dan,Merckx - Men,28,18:53:50.883,00:25:50.037
629,Sweeney,Dave,Merckx - Men,29,18:56:50.500,00:27:49.654
630,Sweeney,Carely,Merckx - Women,30,18:57:10.940,00:27:10.094
631,Schoonover,Sarah,Women (4/U),31,19:01:03.537,00:30:02.691
632,Taylor,James,Men (4/5/U),32,19:03:28.668,00:31:27.822
633,Potter,Mike,Men (4/5/U),33,18:56:47.723,00:23:46.877
634,Clary,Sammy,Merckx - Men,34,18:59:02.846,00:25:02.000
635,Harper,Lauren,Merckx - Women,35,19:12:34.509,00:37:33.663
636,Thomson,William,Master 60+ - Men,36,19:09:03.035,00:33:02.189
637,Kullatham,Veera,Merckx - Women,37,19:05:46.884,00:28:46.038
638,Livingston,Kathryn,Merckx - Women,38,19:06:56.124,00:28:55.278
639,Roussy,Anne,Merckx - Women,39,19:12:28.124,00:33:27.278
640,Brammer,Haley,Women (4/U),40,19:09:49.396,00:29:48.550
641,Livingston,Eric,Merckx - Men,41,19:06:32.465,00:25:31.619
642,Flynn,Ricky,Men (P/1/2/3),42,19:04:05.556,00:22:04.710
643,Flemen,Rob,Merckx - Men,43,19:08:38.005,00:25:37.159
644,Guella,Chris,Merckx - Men,44,19:07:09.893,00:23:09.047
645,Grimm,Myles,Men (4/5/U),45,19:14:24.476,00:29:23.630
646,Sink,Carlton,Men (4/5/U),46,19:13:20.165,00:27:19.319
647,Watson,Nate,Men (P/1/2/3),47,19:11:29.629,00:24:28.783
648,Edwards,Michelle,Master 50+ - Women,48,19:20:04.732,00:32:03.886
649,Lopez,Fulton,Master 50+ - Men,49,19:13:05.764,00:24:04.918
650,Garnder,Brian,Men (4/5/U),50,19:16:33.948,00:26:33.102
651,Muriiithi,Kahwai,Men (4/5/U),51,19:17:41.012,00:26:40.166
652,Martin,James,Master 60+ - Men,52,19:14:50.197,00:22:49.351
653,Martin,Kevin,Merckx - Men,53,19:21:23.941,00:28:23.095
654,Desai,Rishi,Merckx - Men,54,19:25:16.746,00:31:15.900
655,Hinds,Steve,Master 50+ - Men,55,19:22:20.524,00:27:19.678
656,Morris,Hal,Merckx - Men,56,19:23:05.532,00:27:04.686
657,Molzer,Garret,Men (4/5/U),57,19:21:11.100,00:24:10.254
658,Howard,Kevin,Men (P/1/2/3),58,19:22:02.236,00:24:01.390
