BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, START_POSITION, FINISH_TIME, RESULT
1,Temple,Gregory,Men (4/5/U),0.5,18:25:05.245,00:24:33.930
2,Ramsbey,Nicole,Women (4/U),1,18:31:25.880,00:30:24.565
3,Flynn,Ricky,Men (P/1/2/3),1.5,18:25:31.958,00:24:00.643
4,Kocchi,Austin,Merckx - Men,2,18:30:34.340,00:28:33.025
5,Waite,Ruthanne,Merckx - Women,2.5,18:41:19.368,00:38:48.053
6,Kingdom,Jamie,Merckx - Women,3,18:37:19.752,00:34:18.437
7,Smith,Caleb,Men (P/1/2/3),3.5,18:24:58.946,00:21:27.631
8,Desai,Rishi,Men (4/5/U),4,18:32:43.192,00:28:41.877
9,Sisk,David,Master 50+ - Men,4.5,--:--:--.---,--:--:--.---
10,Jones,Marcus,Masters 50+ - Men,5,18:29:04.410,00:24:03.095
11,Palmer,Chip,Master 60+ - Men,5.5,18:33:55.855,00:28:24.540
12,Mikkonen,John,Master 60+ - Men,6,18:42:29.622,00:36:28.307
13,Norcia,Julia,Merckx - Women,6.5,18:37:51.629,00:31:20.314
14,Norcia,Pat,Master 50+ - Men,7,18:33:31.852,00:26:30.537
15,Watson,Nate,Men (P/1/2/3),7.5,18:32:45.549,00:25:14.234
16,Hartzler,Chris,Masters 50+ - Men,8,18:36:40.203,00:28:38.888
17,----,----,----,8.5,--:--:--.---,--:--:--.---
18,----,----,----,9,--:--:--.---,--:--:--.---
19,Kingdom,AJ,Merckx - Men,9.5,18:34:15.423,00:24:44.108
20,Belknap,Fleet,Men (4/5/U),10,18:35:14.799,00:25:13.484
21,Jordan,Jeff,Merckx - Men,10.5,18:38:52.701,00:28:21.386
22,----,----,----,11,--:--:--.---,--:--:--.---
23,Wienke,Brooks,Men (P/1/2/3),11.5,18:32:55.930,00:21:24.615
24,----,----,----,12,--:--:--.---,--:--:--.---
25,----,----,----,12.5,--:--:--.---,--:--:--.---
26,Mitchell,Kathleen,Merckx - Women,13,18:42:10.163,00:29:08.848
27,Clements,Glynn,Master 60+ - Men,13.5,18:45:16.566,00:31:45.251
28,----,----,----,14,--:--:--.---,--:--:--.---
29,Herring,Tony,Master 60+ - Men,14.5,18:41:04.251,00:26:32.936
30,Leonhardt,Tami,Master 60+ - Women,15,18:42:12.605,00:27:11.290
31,DeFoor,Matt,Merckx - Men,15.5,18:44:53.691,00:29:22.376
32,Tabor,Neil,Men (4/5/U),16,18:41:16.401,00:25:15.086
33,Sweeney,Dave,Master 50+ - Men,16.5,18:44:26.327,00:27:55.012
34,----,----,----,17,--:--:--.---,--:--:--.---
35,Wendler,Alex,Merckx - Men,17.5,18:48:25.884,00:30:54.569
36,----,----,----,18,--:--:--.---,--:--:--.---
37,Black,Beckett,Men (P/1/2/3),18.5,18:41:18.024,00:22:46.709
38,----,----,----,19,--:--:--.---,--:--:--.---
39,----,----,----,19.5,--:--:--.---,--:--:--.---
40,----,----,----,20,--:--:--.---,--:--:--.---
41,----,----,----,20.5,--:--:--.---,--:--:--.---
42,McQuaid,Dave,Masters 50+ - Men,21,18:49:23.145,00:28:21.830
43,----,----,----,21.5,--:--:--.---,--:--:--.---
44,----,----,----,22,--:--:--.---,--:--:--.---
45,----,----,----,22.5,--:--:--.---,--:--:--.---
46,----,----,----,23,--:--:--.---,--:--:--.---
47,Martin,James,Master 60+ - Men,23.5,18:46:59.693,00:23:28.378
48,----,----,----,24,--:--:--.---,--:--:--.---
49,Thompson,Bill,Master 60+ - Men,24.5,18:58:55.583,00:34:24.268
50,----,----,----,25,--:--:--.---,--:--:--.---
51,Brunton,Anna,Women(4/U),25.5,19:05:19.897,00:39:48.582
52,----,----,----,26,--:--:--.---,--:--:--.---
53,----,----,----,26.5,--:--:--.---,--:--:--.---
54,----,----,----,27,--:--:--.---,--:--:--.---
55,Collier,Joel,Men (4/5/U),27.5,18:53:19.912,00:25:48.597
56,Molzer,Garett,Men (4/5/U),28,18:53:14.967,00:25:13.652
57,Edwards,Michelle,Master 50+ - Women,28.5,19:02:45.703,00:34:14.388
58,Albright,Ruth,Master 50+ - Women,29,19:07:04.426,00:38:03.111
59,Hoenicke,David,Master 50+ - Men,29.5,18:55:34.726,00:26:03.411
60,Schoonover,Sarah,Women(4/U),30,19:02:37.872,00:32:36.557
61,Radler,Bill,Master 60+ - Men,30.5,18:55:02.676,00:24:31.361
62,Wilson,Gregory,Merckx - Men,31,19:08:21.508,00:37:20.193
64,----,----,----,32,--:--:--.---,--:--:--.---
65,Wilcox,Dylan,Merckx - Men,32.5,19:00:02.485,00:27:31.170
66,Potter,Michael,Men (4/5/U),33,18:59:29.268,00:26:27.953
67,----,----,----,33.5,--:--:--.---,--:--:--.---
68,----,----,----,34,--:--:--.---,--:--:--.---
69,----,----,----,34.5,--:--:--.---,--:--:--.---
70,Gabrick,David,Men (P/1/2/3),35,19:04:44.628,00:29:43.313
71,----,----,----,35.5,--:--:--.---,--:--:--.---
72,----,----,----,36,--:--:--.---,--:--:--.---
73,----,----,----,36.5,--:--:--.---,--:--:--.---
74,----,----,----,37,--:--:--.---,--:--:--.---
75,----,----,----,37.5,--:--:--.---,--:--:--.---
76,----,----,----,38,--:--:--.---,--:--:--.---
77,----,----,----,38.5,--:--:--.---,--:--:--.---
78,----,----,----,39,--:--:--.---,--:--:--.---
79,Watson,Nate,Men (P/1/2/3),39.5,19:04:44.628,00:25:13.313
80,Abner,Max,Men (P/1/2/3),40,19:02:31.984,00:22:30.669
81,----,----,----,40.5,--:--:--.---,--:--:--.---
82,----,----,----,41,19:03:01.985,00:22:00.670
83,----,----,----,41.5,--:--:--.---,--:--:--.---
84,----,----,----,42,--:--:--.---,--:--:--.---
85,----,----,----,42.5,--:--:--.---,--:--:--.---
86,----,----,----,43,--:--:--.---,--:--:--.---
87,Clary,Sammy,Men (4/5/U),43.5,19:09:27.602,00:25:56.287
88,----,----,----,44,--:--:--.---,--:--:--.---
89,----,----,----,44.5,19:11:28.019,00:26:56.704
90,Birch,Andrew,Merckx - Men,45,--:--:--.---,--:--:--.---
91,Michendfelder,Jeff,Men (P/1/2/3),45.5,19:11:00.714,00:25:29.399
92,----,----,----,46,--:--:--.---,--:--:--.---
93,----,----,----,46.5,--:--:--.---,--:--:--.---
94,----,----,----,47,19:19:13.038,00:32:11.723
95,----,----,----,47.5,--:--:--.---,--:--:--.---
96,----,----,----,48,--:--:--.---,--:--:--.---
