BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, FINISH_TIME, RESULT
61,Apanovich,Alex,Men 4/5,18:30:11.954,00:27:10.663
62,Hall,Matthew,Men Merckx,18:32:18.905,00:27:17.614
70,Kingdom,AJ,Men P/1/2/3,18:41:12.518,00:23:11.227
67,Herring,Tony,Masters Men 60+,18:41:16.024,00:25:14.733
68,Leonhardt,Tami,Masters Women 60+,18:44:05.572,00:27:34.281
73,Martin,James,Masters Men 60+,18:45:51.612,00:23:50.321
3,Luepke,Tim,Men Merckx,18:46:18.681,00:27:47.390
65,Turpin-Riggs,Kimberly,Women Merckx,18:46:25.104,00:31:53.813
63,LePere,David,Men Merckx,18:48:17.738,00:35:16.447
66,Kingdom,Jamie,Women Merckx,18:48:28.381,00:33:27.090
71,Kelly,Joanna,Women 4/5,18:48:55.248,00:28:53.957
74,Moser,George,Masters Men 50+,18:49:13.718,00:26:12.427
75,Henry,Chris,Men 4/5,18:49:30.852,00:25:29.561
76,Radler,Bill,Masters Men 60+,18:49:37.884,00:24:36.593
69,Sanders,Jennifer,Women Merckx,18:50:24.838,00:33:23.547
72,Seely,Mary,Masters Women 50+,18:50:26.579,00:29:25.288
77,Sweeney,Dave,Masters Men 50+,18:54:11.612,00:28:10.321
89,Luther,Nick,Men P/1/2/3,18:56:31.977,00:21:59
84,Barnett,Luke,Men Merckx,18:56:34.413,00:24:33.122
90,Olson,Chris,Men P/1/2/3,18:57:35.658,00:21:34.367
86,Deng,Jonathan,Men 4/5,18:59:22.096,00:26:20.805
85,Harvey,Simon,Men Merckx,19:00:05.185,00:27:33.894
87,Fink,Regan,Women Merckx,19:00:11.834,00:26:40.543
88,Belknap,Fleet,Men 4/5,19:00:26.084,00:26:24.793
79,McCall,Vince,Masters Men 50+,19:01:07.055,00:31:35.764
78,Edwards,Michelle,Masters Women 60+,19:01:39.525,00:32:38.234
92,Collier,Joel,Men 4/5,19:02:44.298,00:25:43.007
,,,,19:04:02.486,
82,Harper,Lauren,Women 4/5,19:05:35.902,00:34:34.611
,,,,19:08:03.594,
93,McQuaid,Dave,Masters Men 50+,19:08:07.345,00:28:06.054
91,Clements,Glynn,Masters Men 60+,19:08:09.577,00:31:38.286
81,Schoonover,Sarah,Women 4/5,19:08:35.729,00:38:04.438
94,Bailey,Robert,Men Merckx,19:09:44.728,00:29:13.437
,Yanity,Paige,Women Merckx,19:15:39.696,00:27:37
95,Luther,Girlfriend,Inline Skate,19:21:06.017,00:40:06
