BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, FINISH_TIME,RESULT
948,Harvey,Simon,Merckx - Men,18:27:45.10,--:--:--.---
969,Flynn,Ricky,Men (P/1/2/3),18:27:45.89,--:--:--.---
13,Skelton,Thomas,Men (P/1/2/3),18:28:40.39,--:--:--.---
974,Gardner,Brian,Men (4/5/U),18:29:03.46,--:--:--.---
62,Molzer,Garrett,Men (4/5/U),18:30:29.05,--:--:--.---
971,Hall,David,Men (4/5/U),18:31:54.42,--:--:--.---
743,Palmer,Chip,Masters 50+ - Men,18:32:27.14,--:--:--.---
949,Tabor,Neil,Men (4/5/U),18:36:22.83,--:--:--.---
941,Steinbach,Mari,Women (4/U),18:36:57.13,--:--:--.---
703,Morgan,Rex,Masters 60+ - Men,18:38:59.85,--:--:--.---
205,Gonzalez,Evan,Merckx - Men,18:39:26.55,--:--:--.---
1,Clark,Mary,Merckx - Women,18:39:55.93,--:--:--.---
977,Barnett,Luke,Merckx - Men,18:40:18.66,--:--:--.---
972,Campbell,Greg,Merckx - Men,18:42:31.75,--:--:--.---
950,Schoonover,Sarah,Merckx - Women,18:46:01.00,--:--:--.---
960,Hoenicke,David,Men (4/5/U),18:46:23.00,--:--:--.---
607,Barnett,Gray,Juniors (M),18:46:37.40,--:--:--.---
980,Calvin,Laura,Merckx - Women,18:48:41.46,--:--:--.---
309,Herring,Tony,Masters 50+ - Men,18:48:58.51,--:--:--.---
598,Martin,James,Masters 60+ - Men,18:49:54.66,--:--:--.---
402,Leonhardt,Tami,Women (4/U),18:50:12.92,--:--:--.---
970,Calvin,Kendall,Merckx - Men,18:50:45.72,--:--:--.---
114,Mikell,Jesse,Masters 50+ - Men,18:51:14.88,--:--:--.---
638,Downing,David,Men (4/5/U),18:54:22.71,--:--:--.---
465,Thomson,Bill,Masters 60+ - Men,18:54:29.05,--:--:--.---
555,St. Peter,Chris,Men (P/1/2/3),18:55:24.84,--:--:--.---
921,Alachoyan,Joseph,Men (P/1/2/3),18:56:22.81,--:--:--.---
966,Britt,Christi,Women (4/U),18:58:06.81,--:--:--.---
361,Radler,Bill,Masters 60+ - Men,19:02:16.56,--:--:--.---
649,Bravo,Nonette,Merckx - Women,19:02:48.40,--:--:--.---
601,Lopez,Fulton,Masters 50+ - Men,19:03:04.84,--:--:--.---
910,Clements,Glynn,Masters 60+ - Men,19:03:16.09,--:--:--.---
958,Taylor,James,Masters 60+ - Men,19:03:18.62,--:--:--.---
981,Martin,David,Merckx - Men,19:04:18.51,--:--:--.---
959,Cline,Laura,Women (P/1/2/3),19:04:20.48,--:--:--.---
911,Brace,Geoff,Masters 60+ - Men,19:05:57.46,--:--:--.---
983,McCall,Ken,Masters 50+ - Men,19:07:24.41,--:--:--.---
989,Lee,Ethan,Juniors (M),19:09:30.77,--:--:--.---
997,Sweeney,Carley,Merckx - Women,19:10:10.56,--:--:--.---
976,Sanders,Ladd,Merckx - Men,19:11:37.39,--:--:--.---
973,Richardson,Todd,Hand Cycle (M),19:13:15.02,--:--:--.---
984,Pomeroy,Joe,Hand Cycle (M),19:13:37.21,--:--:--.---
945,Brown,Greg,Merckx - Men,19:14:26.48,--:--:--.---
991,Malone,Katie,Women (4/U),19:17:14.50,--:--:--.---
995,Russell,Abby,Women (4/U),19:19:33.62,--:--:--.---
961,Rob,Cline,Men (4/5/U),19:21:14.81,--:--:--.---
440,Jeff,Jordan,Men (4/5/U),19:21:25.31,--:--:--.---
947,Davies,Gallagher,Merckx - Women,19:22:42.72,--:--:--.---
990,DuBose,Elizabeth,Merckx - Women,19:24:29.11,--:--:--.---
46,Nick,Luther,Men (P/1/2/3),19:26:11.49,--:--:--.---
1173,Scott,Schumate,Men (P/1/2/3),19:26:36.20,--:--:--.---
971,Mears,Kristina,Women (P/1/2/3),19:26:46.06,--:--:--.---
904,Kevin,Howard,Men (P/1/2/3),19:27:13.15,--:--:--.---
996,O'Donnell,Keegan,Merckx - Men,19:27:23.08,--:--:--.---
986,Hurley,Bo,Men (4/5/U),19:28:29.84,--:--:--.---
987,Drescher,Ken,Merckx - Men,19:31:13.97,--:--:--.---
1000,Beckett,Black,Juniors (M),19:33:05.67,--:--:--.---
993,Kyle,Barnett,Merckx - Men,19:33:16.31,--:--:--.---
975,Brian,Sherboneau,Merckx - Men,19:33:27.48,--:--:--.---
944,Olivier,Blanchard,Men (4/5/U),19:34:28.92,--:--:--.---
4,Jeff,Michenfelder,Men (P/1/2/3),19:34:35.31,--:--:--.---
997,Jim,Black,Merckx - Men,19:37:46.39,--:--:--.---
988,Mary,Harris-Edwards,Merckx - Women,19:44:46.67,--:--:--.---
