BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, FINISH_TIME, RESULT
607,Barnett,Luke,Merckx - Men,18:39:09.073,00:33:44.705
692,Hall,David,Men (4/5/U),18:43:05.361,00:33:40.993
688,Bravo,Victor,Merckx - Men,18:47:32.799,00:40:08.431
731,Palmer,Chip,Masters 50+ - Men,18:48:27.024,00:38:02.656
455,Jordon,Jeff,Men (4/5/U),18:49:32.414,00:36:08.046
944,Blunt,Leilani,Juniors (F),18:49:48.981,00:46:24.613
714,Tempel,Greg,Men (P/1/2/3),18:49:59.395,00:32:35.027
689,McKee,Bob,Masters 50+ - Men,18:50:06.311,00:37:41.943
445,Neff,Joel,Merckx - Men,18:51:20.326,00:35:55.958
690,Whig,Rajesh,Merckx - Men,18:51:53.381,00:43:29.013
946,Blunt,Elizabeth,Women (4/U),18:52:00.704,00:45:36.336
75,Studer,Weston,Men (4/5/U),18:53:01.789,00:36:37.421
691,Bailey,Rob,Merckx - Men,18:53:37.594,00:39:13.226
189,Molzer,Garrett,Men (4/5/U),18:55:03.566,00:34:39.198
473,Watson,Nathan,Men (4/5/U),18:55:29.679,00:34:05.311
713,Pistolis,Peter,Men (4/5/U),18:56:39.153,00:37:14.785
920,Tabor,Neil,Men (4/5/U),18:57:15.945,00:33:51.577
626,Sweeney,Carley,Merckx - Women,18:57:40.620,00:39:16.252
943,Blunt,Keith,Juniors (M),18:58:34.336,00:54:09.968
693,Luther,Nick,Men (P/1/2/3),19:00:29.591,00:29:05.223
686,Cline,Rob,Men (4/5/U),19:01:02.357,00:35:37.989
937,Clements,Glynn,Masters 50+ - Men,19:04:33.881,00:42:09.513
718,Knight,Graham,Merckx - Men,19:04:52.052,00:36:27.684
687,Cline,Laura,Merckx - Women,19:05:07.712,00:38:43.344
719,Knight,Barry,Merckx - Men,19:06:13.488,00:38:49.120
601,Lopez,Fulton,Masters 50+ - Men,19:06:14.195,00:33:49.827
343,France,Jamie,Merckx - Women,19:08:25.150,00:44:00.782
627,Blanchard,Olivier,Men (4/5/U),19:10:03.427,00:39:39.059
717,Fowlkes,Willie,Merckx - Men,19:10:17.400,00:35:53.032
912,Christophersen,Eric,Men (P/1/2/3),19:10:38.083,00:32:13.715
1030,Phillips,Reggie,Merckx - Men,19:14:12.198,00:36:47.830
000,Michenfelder,Jeff ,Merckx - Men,19:14:22.919,00:37:58.551
625,Hrubala,Theresa,Merckx - Women,19:17:10.278,00:47:45.910
