BIB_NUMBER,LAST_NAME,FIRST_NAME,CATEGORY,START_POSITION,FINISH_TIME,RESULT
13,----,----,----,0.5,--:--:--.---,--:--:--.---
15,Bergona,Simon,Men (P/1/2/3),1,--:--:--.---,--:--:--.---
17,,,Merckx - Men,1.5,--:--:--.---,--:--:--.---
18,Sweeney,Dave,Merckx - Men,2,--:--:--.---,--:--:--.---
22,Desai,Rishi,Junior (M),2.5,--:--:--.---,--:--:--.---
23,Waite,Ruthanne,Master 50+ - Women,3,--:--:--.---,--:--:--.---
26,Palmer,Chip,Master 60+ - Men,3.5,--:--:--.---,--:--:--.---
29,Fischbach,Yannik,Men (P/1/2/3),4,--:--:--.---,--:--:--.---
30,Belknap,Fleet,Merckx - Men,4.5,--:--:--.---,--:--:--.---
31,Everhart,Danette,Merckx - Women,5,--:--:--.---,--:--:--.---
49,Mosley,Ben,Master 50+ - Men,5.5,--:--:--.---,--:--:--.---
51,Martin,Kevin,Men (4/5/U),6,--:--:--.---,--:--:--.---
53,Molzer,Garret,Men (4/5/U),6.5,--:--:--.---,--:--:--.---
59,Sweeney,Carley,Merckx - Women,7,--:--:--.---,--:--:--.---
63,----,----,----,7.5,--:--:--.---,--:--:--.---
64,Thompson,Brian,Men (4/5/U),8,--:--:--.---,--:--:--.---
65,----,----,----,8.5,--:--:--.---,--:--:--.---
68,----,----,----,9,--:--:--.---,--:--:--.---
70,----,----,----,9.5,--:--:--.---,--:--:--.---
73,Sumbal,Marni ,Women (P/1/2),10,--:--:--.---,--:--:--.---
74,----,----,----,10.5,--:--:--.---,--:--:--.---
75,----,----,----,11,--:--:--.---,--:--:--.---
76,----,----,----,11.5,--:--:--.---,--:--:--.---
77,----,----,----,12,--:--:--.---,--:--:--.---
79,----,----,----,12.5,--:--:--.---,--:--:--.---
83,----,----,----,13,--:--:--.---,--:--:--.---
85,----,----,----,13.5,--:--:--.---,--:--:--.---
86,----,----,----,14,--:--:--.---,--:--:--.---
87,Clements,Glynn,Master 60+ - Men,14.5,--:--:--.---,--:--:--.---
88,Herring,Tony,Master 60+ - Men,15,--:--:--.---,--:--:--.---
89,----,----,----,15.5,--:--:--.---,--:--:--.---
91,Radler,Bill,Master 60+ - Men,16,--:--:--.---,--:--:--.---
93,Owens,Boyd,Men (4/5/U),16.5,--:--:--.---,--:--:--.---
95,Smith,Caleb,Men (P/1/2/3),17,--:--:--.---,--:--:--.---
96,Case,Jeff,Men (P/1/2/3),17.5,--:--:--.---,--:--:--.---
97,Hoenicke,David ,Master 50+ - Men,18,--:--:--.---,--:--:--.---
99,Combs,Paige,Merckx - Women,18.5,--:--:--.---,--:--:--.---
604,----,----,----,19,--:--:--.---,--:--:--.---
606,----,----,----,19.5,--:--:--.---,--:--:--.---
607,Schumate,Scott,Men (P/1/2/3),20,--:--:--.---,--:--:--.---
608,----,----,----,20.5,--:--:--.---,--:--:--.---
609,Harvey,Simon,Merckx - Men,21,--:--:--.---,--:--:--.---
610,----,----,----,21.5,--:--:--.---,--:--:--.---
611,----,----,----,22,--:--:--.---,--:--:--.---
612,----,----,----,22.5,--:--:--.---,--:--:--.---
613,----,----,----,23,--:--:--.---,--:--:--.---
614,Blunt,Elizabeth,Merckx - Women,23.5,--:--:--.---,--:--:--.---
615,Blunt,Keith,Junior (M),24,--:--:--.---,--:--:--.---
616,Blune,Bostin,Merckx - Men,24.5,--:--:--.---,--:--:--.---
617,Martin,James,Master 60+ - Men,25,--:--:--.---,--:--:--.---
618,Kingdom,Andrew ,Merckx - Men,25.5,--:--:--.---,--:--:--.---
622,----,----,----,26,--:--:--.---,--:--:--.---
