BIB_NUMBER, LAST_NAME, FIRST_NAME, CATEGORY, START_POSITION, FINISH_TIME, RESULT
601,----,----,----,1,--:--:--.---,--:--:--.---
602,----,----,----,2,--:--:--.---,--:--:--.---
603,----,----,----,3,--:--:--.---,--:--:--.---
604,----,----,----,4,--:--:--.---,--:--:--.---
605,----,----,----,5,--:--:--.---,--:--:--.---
606,----,----,----,6,--:--:--.---,--:--:--.---
607,----,----,----,7,--:--:--.---,--:--:--.---
608,----,----,----,8,--:--:--.---,--:--:--.---
609,----,----,----,9,--:--:--.---,--:--:--.---
610,----,----,----,10,--:--:--.---,--:--:--.---
611,----,----,----,11,--:--:--.---,--:--:--.---
612,----,----,----,12,--:--:--.---,--:--:--.---
613,----,----,----,13,--:--:--.---,--:--:--.---
614,----,----,----,14,--:--:--.---,--:--:--.---
615,----,----,----,15,--:--:--.---,--:--:--.---
616,----,----,----,16,--:--:--.---,--:--:--.---
617,----,----,----,17,--:--:--.---,--:--:--.---
618,----,----,----,18,--:--:--.---,--:--:--.---
619,----,----,----,19,--:--:--.---,--:--:--.---
620,----,----,----,20,--:--:--.---,--:--:--.---
621,----,----,----,21,--:--:--.---,--:--:--.---
622,----,----,----,22,--:--:--.---,--:--:--.---
623,----,----,----,23,--:--:--.---,--:--:--.---
624,----,----,----,24,--:--:--.---,--:--:--.---
625,----,----,----,25,--:--:--.---,--:--:--.---
626,----,----,----,26,--:--:--.---,--:--:--.---
627,----,----,----,27,--:--:--.---,--:--:--.---
628,----,----,----,28,--:--:--.---,--:--:--.---
629,----,----,----,29,--:--:--.---,--:--:--.---
630,----,----,----,30,--:--:--.---,--:--:--.---
631,----,----,----,31,--:--:--.---,--:--:--.---
632,----,----,----,32,--:--:--.---,--:--:--.---
633,----,----,----,33,--:--:--.---,--:--:--.---
634,----,----,----,34,--:--:--.---,--:--:--.---
635,----,----,----,35,--:--:--.---,--:--:--.---
636,----,----,----,36,--:--:--.---,--:--:--.---
637,----,----,----,37,--:--:--.---,--:--:--.---
638,----,----,----,38,--:--:--.---,--:--:--.---
639,----,----,----,39,--:--:--.---,--:--:--.---
640,----,----,----,40,--:--:--.---,--:--:--.---
641,----,----,----,41,--:--:--.---,--:--:--.---
642,----,----,----,42,--:--:--.---,--:--:--.---
643,----,----,----,43,--:--:--.---,--:--:--.---
644,----,----,----,44,--:--:--.---,--:--:--.---
645,----,----,----,45,--:--:--.---,--:--:--.---
646,----,----,----,46,--:--:--.---,--:--:--.---
647,----,----,----,47,--:--:--.---,--:--:--.---
648,----,----,----,48,--:--:--.---,--:--:--.---
649,----,----,----,49,--:--:--.---,--:--:--.---
650,----,----,----,50,--:--:--.---,--:--:--.---
651,----,----,----,51,--:--:--.---,--:--:--.---
652,----,----,----,52,--:--:--.---,--:--:--.---
653,----,----,----,53,--:--:--.---,--:--:--.---
654,----,----,----,54,--:--:--.---,--:--:--.---
655,----,----,----,55,--:--:--.---,--:--:--.---
656,----,----,----,56,--:--:--.---,--:--:--.---
657,----,----,----,57,--:--:--.---,--:--:--.---
658,----,----,----,58,--:--:--.---,--:--:--.---
659,----,----,----,59,--:--:--.---,--:--:--.---
700,----,----,----,60,--:--:--.---,--:--:--.---
701,----,----,----,61,--:--:--.---,--:--:--.---
702,----,----,----,62,--:--:--.---,--:--:--.---
703,----,----,----,63,--:--:--.---,--:--:--.---
704,----,----,----,64,--:--:--.---,--:--:--.---
705,----,----,----,65,--:--:--.---,--:--:--.---
706,----,----,----,66,--:--:--.---,--:--:--.---
707,----,----,----,67,--:--:--.---,--:--:--.---
708,----,----,----,68,--:--:--.---,--:--:--.---
709,----,----,----,69,--:--:--.---,--:--:--.---
7010,----,----,----,70,--:--:--.---,--:--:--.---
711,----,----,----,71,--:--:--.---,--:--:--.---
712,----,----,----,72,--:--:--.---,--:--:--.---
713,----,----,----,73,--:--:--.---,--:--:--.---
714,----,----,----,74,--:--:--.---,--:--:--.---
715,----,----,----,75,--:--:--.---,--:--:--.---
716,----,----,----,76,--:--:--.---,--:--:--.---
717,----,----,----,77,--:--:--.---,--:--:--.---
718,----,----,----,78,--:--:--.---,--:--:--.---
719,----,----,----,79,--:--:--.---,--:--:--.---
720,----,----,----,80,--:--:--.---,--:--:--.---
721,----,----,----,81,--:--:--.---,--:--:--.---
722,----,----,----,82,--:--:--.---,--:--:--.---
723,----,----,----,83,--:--:--.---,--:--:--.---
724,----,----,----,84,--:--:--.---,--:--:--.---
725,----,----,----,85,--:--:--.---,--:--:--.---
726,----,----,----,86,--:--:--.---,--:--:--.---
727,----,----,----,87,--:--:--.---,--:--:--.---
728,----,----,----,88,--:--:--.---,--:--:--.---
729,----,----,----,89,--:--:--.---,--:--:--.---
730,----,----,----,90,--:--:--.---,--:--:--.---
731,----,----,----,91,--:--:--.---,--:--:--.---
732,----,----,----,92,--:--:--.---,--:--:--.---
733,----,----,----,93,--:--:--.---,--:--:--.---
734,----,----,----,94,--:--:--.---,--:--:--.---
735,----,----,----,95,--:--:--.---,--:--:--.---
736,----,----,----,96,--:--:--.---,--:--:--.---
737,----,----,----,97,--:--:--.---,--:--:--.---
738,----,----,----,98,--:--:--.---,--:--:--.---
739,----,----,----,99,--:--:--.---,--:--:--.---
740,----,----,----,100,--:--:--.---,--:--:--.---
741,----,----,----,101,--:--:--.---,--:--:--.---
742,----,----,----,102,--:--:--.---,--:--:--.---
743,----,----,----,103,--:--:--.---,--:--:--.---
744,----,----,----,104,--:--:--.---,--:--:--.---
745,----,----,----,105,--:--:--.---,--:--:--.---
746,----,----,----,106,--:--:--.---,--:--:--.---
747,----,----,----,107,--:--:--.---,--:--:--.---
748,----,----,----,108,--:--:--.---,--:--:--.---
749,----,----,----,109,--:--:--.---,--:--:--.---
750,----,----,----,110,--:--:--.---,--:--:--.---
751,----,----,----,111,--:--:--.---,--:--:--.---
752,----,----,----,112,--:--:--.---,--:--:--.---
753,----,----,----,113,--:--:--.---,--:--:--.---
754,----,----,----,114,--:--:--.---,--:--:--.---
755,----,----,----,115,--:--:--.---,--:--:--.---
756,----,----,----,116,--:--:--.---,--:--:--.---
757,----,----,----,117,--:--:--.---,--:--:--.---
758,----,----,----,118,--:--:--.---,--:--:--.---
759,----,----,----,119,--:--:--.---,--:--:--.---
